BGSU1001	3.0,3.5,2.0,2.0,3.0,2.5
TRME3011	3.5,3.5
TRME3012	4.0,2.5
TRME3013	3.5
TRME3015	4.0,3.0
TRME3018	3.5
TRME3019	3.5
TRME3020	3.0,3.0
TRME3021	3.5,4.0
TRME3023	3.5,3.5
TRME3024	2.5,3.0
TRME3026	3.5,3.0
TRME3027	3.0,4.0
TRME3028	1.5,3.0
TRME3029	3.5,4.0
TRME3030	2.5,2.0
TSKC1292	3.0,2.5
TSKC1295	3.0,4.0
TSKC1343	1.5,2.5
TSKC1345	2.5,2.0
TSKC1349	3.0,3.5
TSKC1374	3.0,4.0,2.0
TSNO1006	3.5
TSNO1009	3.5,3.5,3.0,4.0,4.0,3.5
TSNO1011	3.5,3.0
TSNO1012	3.0,2.5
TSNO1022	3.0,3.0
TSNO1039	1.0,1.0
TSNO1050	1.5,2.0
TSNO1064	3.0
TSNO1090	3.0,3.0
TSNO1102	3.0,3.5
TSNO1104	3.0,3.0
TSNO1122	2.5,3.0
TSNO1135	3.0,3.0
TSNO1145	3.0,2.5
TSNO1157	3.0
TSNO1161	3.0,3.0
TSNO1166	3.0,3.0
TSNO1269	3.0,2.5
TSNO1303	3.0,2.5
TSNO1308	2.5
TSNO1332	3.5,3.0
TSNO1397	4.0,2.5
TSNO1398	4.0,3.5
TSNO1403	3.5,3.0
TSNO1410	3.5,3.5
TSNO1416	3.5,3.5
TSNO1425	3.0,3.5
TSNO1426	3.0,2.5
TSNO1428	3.0,3.0
TSNO1431	3.5,4.0
TSNO1434	3.0,3.0
TSNO1435	3.0,3.0
TSNO1438	2.5,3.5
TSNO1442	3.0,2.5
TSNO1445	3.0,3.0
TSNO1448	3.0,3.0
TSNO1455	3.0
TSNO1457	3.0,3.0,2.0,3.0,2.0,3.5
TSNO1461	2.5,3.0
TSNO1462	3.0,2.0
TSNO1479	2.0,3.0
TSNO1482	3.0,3.0
TSNO1485	3.0,3.0
TSNO1486	3.0,3.0
TSNO1488	3.0,2.0
TSNO1490	2.5,2.5
TSNO1492	3.0,2.0
TSNO1493	2.5,2.5
TSNO1496	3.0,2.5
TSNO1504	2.5
TSNO1507	3.0
TSNO1513	3.5
TSNO1515	3.5,3.0
TSNO1516	4.0
